event_id,league,start_time_local,home_team,away_team,bookmaker,market,outcome,price_decimal,model_prob,market_prob_devig,edge_pct,ev,kelly_stake
fc st pauli_tsg hoffenheim_20251019,soccer_germany_bundesliga,2025-10-19 11:30,fc st pauli,tsg hoffenheim,onexbet,match_winner,away,3.19,0.3353,0.3089,8.57,0.0697,159.02
1 köln_augsburg_20251018,soccer_germany_bundesliga,2025-10-18 09:30,1 köln,augsburg,tipico_de,match_winner,draw,3.80,0.2804,0.2497,12.26,0.0653,116.69
hamburger sv_fsv mainz 05_20251005,soccer_germany_bundesliga,2025-10-05 11:30,hamburger sv,fsv mainz 05,unibet_nl,match_winner,draw,3.80,0.2804,0.2540,10.36,0.0653,116.69
lorient_brest_20251019,soccer_france_ligue_one,2025-10-19 11:15,lorient,brest,unibet_nl,match_winner,draw,3.80,0.2804,0.2540,10.36,0.0653,116.69
nice_lyon_20251018,soccer_france_ligue_one,2025-10-18 11:00,nice,lyon,unibet_nl,match_winner,draw,3.80,0.2804,0.2548,10.02,0.0653,116.69
fsv mainz 05_bayer leverkusen_20251018,soccer_germany_bundesliga,2025-10-18 09:30,fsv mainz 05,bayer leverkusen,unibet_nl,match_winner,draw,3.80,0.2804,0.2552,9.87,0.0653,116.69
atalanta bc_lazio_20251019,soccer_italy_serie_a,2025-10-19 12:00,atalanta bc,lazio,unibet_nl,match_winner,draw,3.80,0.2804,0.2556,9.69,0.0653,116.69
fc st pauli_tsg hoffenheim_20251019,soccer_germany_bundesliga,2025-10-19 11:30,fc st pauli,tsg hoffenheim,unibet_nl,match_winner,draw,3.80,0.2804,0.2557,9.63,0.0653,116.69
werder bremen_fc st pauli_20251004,soccer_germany_bundesliga,2025-10-04 09:30,werder bremen,fc st pauli,unibet_nl,match_winner,draw,3.80,0.2804,0.2561,9.48,0.0653,116.69
auxerre_rc lens_20251004,soccer_france_ligue_one,2025-10-04 15:05,auxerre,rc lens,betfair_ex_eu,match_winner,draw,3.80,0.2804,0.2616,7.18,0.0653,116.69
alavés_valencia_20251020,soccer_spain_la_liga,2025-10-20 15:00,alavés,valencia,onexbet,moneyline,draw,3.21,0.3300,0.3065,7.67,0.0593,134.16
alavés_valencia_20251020,soccer_spain_la_liga,2025-10-20 15:00,alavés,valencia,onexbet,moneyline,draw,3.21,0.3300,0.3065,7.67,0.0593,134.16
elche cf_athletic bilbao_20251019,soccer_spain_la_liga,2025-10-19 08:00,elche cf,athletic bilbao,tipico_de,moneyline,draw,3.20,0.3300,0.2949,11.91,0.0560,127.27
como_juventus_20251019,soccer_italy_serie_a,2025-10-19 06:30,como,juventus,tipico_de,moneyline,home,3.20,0.3300,0.2949,11.91,0.0560,127.27
elche cf_athletic bilbao_20251019,soccer_spain_la_liga,2025-10-19 08:00,elche cf,athletic bilbao,tipico_de,moneyline,draw,3.20,0.3300,0.2949,11.91,0.0560,127.27
